date,strategy,benchmark,strategy_return,benchmark_return
2018-01-02,1.0004115067455177,0.9977127644435925,0.00041150674551770905,-0.0022872355564075297
2018-01-03,1.000629167878706,1.0014540141242971,0.0002175716010068829,0.0037498264170159334
2018-01-04,1.004078733404641,1.0080915824879166,0.0034473965347701085,0.006627931257955577
2018-01-05,1.0160416306872244,1.0166194755947324,0.011914302020937573,0.008459442827376318
2018-01-08,1.0136371016257308,1.016097031284886,-0.0023665654918757495,-0.000513903503118307
2018-01-09,1.0111488430574482,1.0210445211704786,-0.002454782450535542,0.004869111643143187
2018-01-10,1.0067176314383715,1.0202397115865403,-0.004382353448259879,-0.0007882218328890689
2018-01-11,1.013294950623261,1.0282451603835092,0.006533430010053465,0.007846635164318272
2018-01-12,1.0206769428135887,1.0374974759249314,0.007285136658173652,0.008998161039699193
2018-01-16,1.0173214065234717,1.0370950350525536,-0.003287559608103896,-0.0003878957604392941
2018-01-17,1.0338821806017628,1.0502494467341617,0.016278802325496056,0.012683901896166638
2018-01-18,1.0365748860876942,1.0465483184673072,0.002604460678840681,-0.0035240468617845355
2018-01-19,1.0422481073524827,1.0486575069662716,0.005473045257927023,0.0020153761290766514
2018-01-22,1.0487001353984795,1.0544536802121,0.006190491496680384,0.005527231920168685
2018-01-23,1.0526173244901196,1.0540106849609747,0.0037352804289967345,-0.00042011826544741115
2018-01-24,1.052872619656013,1.0568284926757805,0.00024253369192561713,0.002673414752821124
2018-01-25,1.0510368885653796,1.0615778289598767,-0.0017435452839804633,0.004493951778373528
2018-01-26,1.0715676190399819,1.070271258979232,0.019533786775672413,0.00818915936467235
2018-01-29,1.0635712969543654,1.0632279303456857,-0.007462265510393529,-0.006580881785299808
2018-01-30,1.0470265288101168,1.048979921493398,-0.015555861832324713,-0.013400709712032666
2018-01-31,1.0517576791394108,1.052280340747465,0.004518653729500555,0.003146313086115571
2018-02-01,1.0486088311443833,1.0530044745388063,-0.0029938911381222066,0.0006881567233565367
2018-02-02,1.018902412504335,1.0260778102666255,-0.028329361490908478,-0.025571272414558477
2018-02-05,0.9758858311438398,0.9791468688277295,-0.042218548933225075,-0.04573818960835052
2018-02-06,1.003333272574045,1.0020485470896043,0.028125668550832428,0.02338942092445606
2018-02-07,1.0008668646300207,1.0012438096664815,-0.0024582140465616575,-0.0008030922508296401
2018-02-08,0.9559616256723215,0.9606319909089744,-0.04486634590935212,-0.04056136813573419
2018-02-09,0.9757907093401527,0.9741558659699213,0.020742551934431086,0.014078101904716034
2018-02-12,0.9934932607883286,0.9908190251821889,0.018141750355613384,0.01710522904430367
2018-02-13,0.9964788032984885,0.9924292937974132,0.003005095885392217,0.0016251894385337362
